Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_1h windpower tigan
58147 2022 3 10 0 1014.3000 1015.9000 1014.5000 1014.2000 2.7000 4.8000 79 93 3.3000 90 12.1000 12.1000 9.4000 84 84 0.0000 2 11.5600 
58147 2022 3 10 1 1014.5000 1016.1000 1014.5000 1014.3000 3.6000 5.3000 102 77 3.4000 98 13.7000 13.8000 12.1000 75 75 0.0000 2 13.0800 
58147 2022 3 10 2 1014.6000 1016.2000 1014.8000 1014.5000 3.1000 4.6000 78 71 1.0000 77 15.4000 15.4000 13.7000 69 69 0.0000 2 14.8000 
58147 2022 3 10 3 1013.9000 1015.5000 1014.5000 1013.9000 2.0000 3.4000 138 87 1.9000 132 17.4000 17.7000 15.5000 60 60 0.0000 2 16.7600 
58147 2022 3 10 4 1012.9000 1014.5000 1013.9000 1012.9000 2.0000 3.6000 95 45 1.4000 101 19.8000 19.9000 17.5000 53 53 0.0000 1 19.2200 
58147 2022 3 10 5 1011.5000 1013.1000 1012.8000 1011.5000 2.6000 4.6000 110 335 0.9000 123 21.7000 21.7000 19.9000 47 46 0.0000 1 21.1500 
58147 2022 3 10 6 1010.9000 1012.5000 1011.5000 1010.8000 3.0000 5.1000 75 88 2.3000 82 22.3000 22.5000 21.7000 47 44 0.0000 2 21.8100 
58147 2022 3 10 7 1010.5000 1012.1000 1010.9000 1010.5000 3.7000 5.4000 12 27 3.4000 25 22.5000 22.9000 22.2000 46 43 0.0000 3 22.0100 
58147 2022 3 10 8 1010.2000 1011.8000 1010.6000 1010.1000 3.9000 5.3000 11 9 3.8000 8 21.3000 22.3000 21.3000 53 45 0.0000 3 20.8700 
58147 2022 3 10 9 1010.7000 1012.3000 1010.7000 1010.2000 3.8000 5.8000 357 349 2.9000 9 20.6000 21.6000 20.6000 54 50 0.0000 2 20.1300 
58147 2022 3 10 10 1011.3000 1012.9000 1011.3000 1010.8000 3.2000 5.2000 2 17 2.0000 358 19.2000 20.6000 19.2000 54 54 0.0000 2 18.5900 
58147 2022 3 10 11 1011.5000 1013.1000 1011.5000 1011.1000 2.0000 2.4000 43 3 1.1000 329 18.0000 19.2000 17.8000 57 54 0.0000 1 17.3400 
58147 2022 3 10 12 1012.1000 1013.7000 1012.1000 1011.5000 1.6000 2.3000 338 346 1.7000 21 17.7000 18.0000 17.7000 58 55 0.0000 2 17.0400 
58147 2022 3 10 13 1012.3000 1013.9000 1012.3000 1012.0000 2.8000 3.9000 353 9 1.2000 355 17.5000 17.7000 17.5000 64 58 0.0000 2 16.9800 
58147 2022 3 10 14 1011.9000 1013.5000 1012.5000 1011.9000 2.7000 3.8000 56 60 2.3000 37 17.1000 17.5000 17.1000 70 64 0.0000 2 16.6900 
